0	0.994	0	
0.001	0.993845	-0.00198537	0.000981795
0.00198179	0.993417	-0.00384859	0.00107232
0.00305412	0.992712	-0.00572498	0.00122773
0.00428185	0.991703	-0.0076481	0.00143176
0.0057136	0.990378	-0.00961229	0.00172628
0.00743988	0.988683	-0.0116551	0.0021438
0.00958367	0.986538	-0.0138175	0.00273082
0.0123145	0.983829	-0.0161415	0.00355828
0.0158728	0.980397	-0.0186712	0.00473388
0.0206067	0.97602	-0.021452	0.00642228
0.0270289	0.970389	-0.0245264	0.00887876
0.0359077	0.963065	-0.027923	0.0125071
0.0484148	0.953413	-0.03163	0.0179629
0.0663777	0.940491	-0.0355311	0.0263503
0.092728	0.922835	-0.0392528	0.0385327
0.131261	0.898725	-0.0417493	0.0562686
0.187529	0.865592	-0.0407902	0.083814
0.271343	0.818499	-0.0313504	0.130846
0.402189	0.746375	-0.000140691	0.188698
0.590887	0.637196	0.0788452	0.198743
0.78963	0.502677	0.210415	0.166916
0.956546	0.368149	0.368446	0.139858
1.0964	0.256818	0.539381	0.109108
1.20551	0.191489	0.694942	0.115447
1.32096	0.15649	0.87374	0.119095
1.44005	0.163253	1.06295	0.117301
1.55735	0.213678	1.24148	0.116366
1.67372	0.304371	1.39782	0.11716
1.79088	0.431522	1.52156	0.115554
1.90643	0.584763	1.59946	0.109457
2.01589	0.747005	1.62506	0.104376
2.12027	0.90877	1.60153	0.101377
2.22164	1.06443	1.53262	0.100411
2.32206	1.20953	1.42085	0.101352
2.42341	1.33954	1.26766	0.104288
2.52769	1.44909	1.07361	0.109702
2.6374	1.53122	0.838283	0.118962
2.75636	1.57577	0.559344	0.122097
2.87846	1.56898	0.262673	0.124725
3.00318	1.50545	-0.034241	0.130057
3.13324	1.38015	-0.319005	0.137843
3.27108	1.18839	-0.5742	0.128214
3.39929	0.96564	-0.754511	0.120207
3.5195	0.728673	-0.865229	0.115106
3.63461	0.486713	-0.914237	0.112059
3.74667	0.247303	-0.907338	0.109938
3.85661	0.0191151	-0.849615	0.107605
3.96421	-0.187048	-0.747689	0.104619
4.06883	-0.359959	-0.61068	0.102334
4.17116	-0.491392	-0.447272	0.103657
4.27482	-0.575335	-0.260865	0.0959441
4.37076	-0.600877	-0.0788093	0.0882973
4.45906	-0.575858	0.088428	0.0831898
4.54225	-0.508644	0.238505	0.0811512
4.6234	-0.40401	0.371601	0.0841323
4.70754	-0.260294	0.489814	0.084229
4.79176	-0.0899076	0.583107	0.0842397
4.876	0.0961725	0.647921	0.0912416
4.96725	0.305049	0.683717	0.1032
5.07045	0.540849	0.679784	0.113904
5.18435	0.791114	0.620773	0.120276
5.30463	1.0343	0.49846	0.124952
5.42958	1.25384	0.311532	0.131347
5.56092	1.43765	0.0595229	0.138956
